"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1","01/01/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"2","01/02/2019",17,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"3","01/03/2019",15,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"4","01/04/2019",20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"5","01/05/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"6","01/06/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"7","01/07/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"8","01/08/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"9","01/09/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10","01/10/2019",28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"11","01/11/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"12","01/12/2019",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"13","01/13/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"14","01/14/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"15","01/15/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"16","01/16/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"17","01/17/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"18","01/18/2019",16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"19","01/19/2019",29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"20","01/20/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"21","01/21/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"22","01/23/2019",21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"23","01/24/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"24","01/25/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"25","01/26/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"26","01/27/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"27","01/28/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"28","01/29/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"29","01/30/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"30","01/31/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"31","02/01/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"32","02/02/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"33","02/03/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"34","02/04/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"35","02/05/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"36","02/06/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"37","02/07/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"38","02/08/2019",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"39","02/09/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"40","02/10/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"41","02/11/2019",20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"42","02/12/2019",23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"43","02/13/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"44","02/14/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"45","02/15/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"46","02/16/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"47","02/17/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"48","02/18/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"49","02/21/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"50","02/22/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"51","02/23/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"52","02/24/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"53","02/25/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"54","02/26/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"55","02/27/2019",23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"56","02/28/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"57","03/01/2019",22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"58","03/02/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"59","03/03/2019",21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"60","03/04/2019",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"61","03/05/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
